folder,target_metric,input_file,vida_file,vida_metric_delta,lance_file,lance_metric_delta
beautiful_1,beautiful,39.284776_-76.641949_195.jpg,BEST__delta_plus6.150__Ours__beautiful__0008_39.284776_-76.641949_195_r7_gemini_edit_0.jpg,6.150,BEST__domain_s1__delta_plus6.574__0218_2.42_baltimore_west_39.284776_-76.641949_domain_s1.png,6.574
beautiful_2,beautiful,4.595769_-74.180653_278.jpg,BEST__delta_plus2.858__Ours__beautiful__0018_4.595769_-74.180653_278_r6_gemini_edit_0.jpg,2.858,BEST__domain_s1__delta_plus5.954__0019_0.37_bogota_soacha_4.595769_-74.180653_domain_s1.png,5.954
lively_1,lively,33.773723_-84.464898_92.jpg,BEST__delta_plus2.777__Ours__lively__0003_33.773723_-84.464898_92_r1_gemini_edit_0.jpg,2.777,BEST__object_s1__delta_plus5.225__0220_2.76_atlanta_suburb_33.773723_-84.464898_object_s1.png,5.225
lively_2,lively,33.774327_-84.417054_136.jpg,BEST__delta_plus3.277__Ours__lively__0017_33.774327_-84.417054_136_r4_gemini_edit_0.jpg,3.277,BEST__background_s1__delta_plus0.422__0304_3.67_atlanta_suburb_33.774327_-84.417054_background_s1.png,0.422
safety_1,safety,33.714056_-84.461979_117.jpg,BEST__delta_plus2.991__Ours__safety__0006_33.714056_-84.461979_117_r4_gemini_edit_0.jpg,2.991,BEST__background_s1__delta_plus2.252__0348_4.38_atlanta_suburb_33.714056_-84.461979_background_s1.png,2.252
safety_2,safety,39.305922_-76.63757_136.jpg,BEST__delta_plus1.657__Ours__safety__0019_39.305922_-76.63757_136_r6_gemini_edit_0.jpg,1.657,BEST__subject_s1__delta_plus1.720__0376_4.85_baltimore_west_39.305922_-76.63757_subject_s1.png,1.720
wealthy_1,wealthy,53.797766_-2.244447_109.jpg,BEST__delta_plus3.547__Ours__wealthy__0001_53.797766_-2.244447_109_r4_gemini_edit_0.jpg,3.547,BEST__background_s1__delta_plus6.389__0152_2.56_burnley_uk_53.797766_-2.244447_background_s1.png,6.389
wealthy_2,wealthy,41.58726_-87.336587_325.jpg,BEST__delta_plus5.549__Ours__wealthy__0012_41.58726_-87.336587_325_r3_gemini_edit_0.jpg,5.549,BEST__subject_s1__delta_plus3.131__0139_2.40_gary_indiana_41.58726_-87.336587_subject_s1.png,3.131
